feature,importance
morgan_28,9.4
morgan_1241,9.4
morgan_1341,9.4
morgan_226,9.4
morgan_1186,9.399999999999999
morgan_1323,9.200000000000001
morgan_1305,9.200000000000001
morgan_598,9.200000000000001
morgan_706,9.2
morgan_762,9.2
morgan_243,9.2
morgan_748,9.2
morgan_1899,9.2
morgan_573,9.2
morgan_1322,9.0
morgan_1161,9.0
morgan_1690,9.0
morgan_229,9.0
morgan_31,9.0
morgan_1880,9.0
morgan_428,9.0
morgan_1907,8.8
morgan_1029,8.8
morgan_1539,8.8
morgan_1597,8.8
morgan_1760,8.8
morgan_407,8.8
morgan_1989,8.8
morgan_1266,8.8
morgan_836,8.8
morgan_1167,8.799999999999999
morgan_549,8.799999999999999
morgan_186,8.600000000000001
morgan_403,8.6
morgan_409,8.6
morgan_806,8.6
morgan_760,8.6
morgan_1791,8.6
morgan_1824,8.6
morgan_2027,8.6
morgan_316,8.6
morgan_823,8.4
morgan_246,8.4
morgan_583,8.4
morgan_5,8.4
morgan_1765,8.200000000000001
morgan_1976,8.200000000000001
morgan_7,8.200000000000001
morgan_1995,8.200000000000001
morgan_565,8.200000000000001
morgan_1174,8.200000000000001
morgan_841,8.200000000000001
morgan_435,8.2
morgan_1842,8.2
morgan_1385,8.2
morgan_377,8.2
morgan_604,8.2
morgan_63,8.2
morgan_1736,8.2
morgan_224,8.2
morgan_1537,8.2
morgan_1079,8.0
morgan_1493,7.999999999999999
morgan_1707,7.999999999999999
morgan_1831,7.800000000000001
morgan_300,7.800000000000001
morgan_1238,7.800000000000001
morgan_888,7.8
morgan_1601,7.8
morgan_697,7.8
morgan_398,7.8
morgan_352,7.8
morgan_554,7.8
morgan_956,7.6000000000000005
morgan_213,7.6000000000000005
morgan_1578,7.6000000000000005
morgan_1561,7.6
morgan_1118,7.6
morgan_1702,7.6
morgan_849,7.6
morgan_1528,7.6
morgan_1435,7.6
morgan_745,7.599999999999999
morgan_1865,7.4
morgan_1135,7.4
morgan_832,7.4
morgan_1193,7.4
morgan_11,7.4
morgan_1094,7.4
morgan_1692,7.3999999999999995
morgan_81,7.2
morgan_258,7.2
morgan_235,7.2
morgan_976,7.199999999999999
morgan_1800,7.199999999999999
morgan_863,7.199999999999999
morgan_263,7.199999999999999
morgan_166,7.199999999999999
morgan_927,7.000000000000001
morgan_1542,7.0
morgan_1909,7.0
morgan_1836,7.0
morgan_843,7.0
morgan_1205,7.0
morgan_798,7.0
morgan_647,7.0
morgan_6,7.0
morgan_1948,7.0
morgan_230,7.0
morgan_1879,7.0
morgan_555,6.999999999999999
morgan_120,6.999999999999999
morgan_1317,6.8
morgan_816,6.8
morgan_1041,6.8
morgan_1085,6.8
morgan_269,6.799999999999999
morgan_1752,6.799999999999999
morgan_374,6.799999999999999
morgan_872,6.6000000000000005
morgan_1027,6.6000000000000005
morgan_1773,6.6000000000000005
morgan_1918,6.6000000000000005
morgan_763,6.6
morgan_41,6.6
morgan_1768,6.6
morgan_940,6.6
morgan_108,6.6
morgan_1456,6.6
morgan_778,6.4
morgan_2010,6.4
morgan_355,6.4
morgan_612,6.4
morgan_222,6.3999999999999995
morgan_1908,6.3999999999999995
morgan_1885,6.200000000000001
morgan_1484,6.200000000000001
morgan_711,6.2
morgan_411,6.2
morgan_1199,6.2
morgan_919,6.2
morgan_1860,6.2
morgan_736,6.2
morgan_97,6.199999999999999
morgan_375,6.199999999999999
morgan_1746,6.199999999999999
morgan_1595,6.199999999999999
morgan_1621,6.199999999999999
morgan_540,6.0
morgan_1875,6.0
morgan_588,6.0
morgan_1699,6.0
morgan_290,6.0
morgan_180,6.0
morgan_219,6.0
morgan_1573,6.0
morgan_1894,6.0
morgan_1796,5.999999999999999
morgan_1506,5.999999999999999
morgan_1475,5.800000000000001
morgan_1825,5.800000000000001
morgan_966,5.800000000000001
morgan_639,5.800000000000001
morgan_107,5.8
morgan_495,5.8
morgan_1997,5.8
morgan_333,5.8
morgan_483,5.8
morgan_1726,5.8
morgan_718,5.8
morgan_1728,5.8
morgan_645,5.799999999999999
morgan_1624,5.6000000000000005
morgan_830,5.6000000000000005
morgan_1195,5.6000000000000005
morgan_1864,5.6
morgan_804,5.6
morgan_1667,5.6
morgan_535,5.6
morgan_121,5.6
morgan_1376,5.6
morgan_1905,5.6
morgan_284,5.6
morgan_1906,5.6
morgan_117,5.4
morgan_867,5.4
morgan_417,5.4
morgan_187,5.4
morgan_437,5.4
morgan_883,5.4
morgan_2040,5.4
morgan_1556,5.4
morgan_181,5.4
morgan_1124,5.4
morgan_1562,5.3999999999999995
morgan_1399,5.3999999999999995
morgan_1598,5.3999999999999995
morgan_1819,5.3999999999999995
morgan_1809,5.3999999999999995
morgan_644,5.2
morgan_1304,5.2
morgan_641,5.2
morgan_1016,5.2
morgan_1423,5.2
morgan_77,5.2
morgan_1078,5.2
morgan_1243,5.2
morgan_1187,5.2
morgan_1616,5.2
morgan_1729,5.199999999999999
morgan_488,5.199999999999999
morgan_132,5.199999999999999
morgan_1150,5.199999999999999
morgan_877,5.0
morgan_1464,5.0
morgan_590,5.0
morgan_1530,5.0
morgan_990,5.0
morgan_1724,5.0
morgan_2036,5.0
morgan_356,5.0
morgan_464,5.0
morgan_1131,5.0
morgan_1812,5.0
morgan_1570,5.0
morgan_773,4.999999999999999
morgan_1569,4.999999999999999
morgan_1847,4.800000000000001
morgan_653,4.800000000000001
morgan_384,4.800000000000001
morgan_1647,4.800000000000001
morgan_1293,4.8
morgan_1594,4.8
morgan_1389,4.8
morgan_1719,4.8
morgan_423,4.8
morgan_1738,4.8
morgan_251,4.8
morgan_1999,4.8
morgan_1924,4.799999999999999
morgan_1586,4.6000000000000005
morgan_1689,4.6000000000000005
morgan_185,4.6000000000000005
morgan_1550,4.6000000000000005
morgan_891,4.6
morgan_1074,4.6
morgan_1536,4.6
morgan_1793,4.6
morgan_1099,4.6
morgan_1732,4.6
morgan_977,4.4
morgan_1721,4.4
morgan_1316,4.4
morgan_1147,4.4
morgan_1677,4.4
morgan_1564,4.4
morgan_1127,4.4
morgan_1495,4.4
morgan_1396,4.4
morgan_1654,4.3999999999999995
morgan_376,4.3999999999999995
morgan_1611,4.3999999999999995
morgan_1056,4.2
morgan_510,4.2
morgan_515,4.2
morgan_1607,4.2
morgan_814,4.2
morgan_208,4.2
morgan_189,4.2
morgan_2003,4.2
morgan_421,4.2
morgan_675,4.2
morgan_1704,4.2
morgan_1540,4.2
morgan_2039,4.2
morgan_1443,4.199999999999999
morgan_1515,4.199999999999999
morgan_1252,4.0
morgan_1483,4.0
morgan_239,4.0
morgan_1232,4.0
morgan_1886,4.0
morgan_678,4.0
morgan_624,4.0
morgan_351,4.0
morgan_304,4.0
morgan_648,4.0
morgan_1192,4.0
morgan_659,4.0
morgan_1486,3.9999999999999996
morgan_499,3.9999999999999996
morgan_50,3.8000000000000003
morgan_1711,3.8000000000000003
morgan_1662,3.8000000000000003
morgan_14,3.8
morgan_1741,3.8
morgan_529,3.8
morgan_1479,3.8
morgan_1862,3.8
morgan_1142,3.8
morgan_1845,3.8
morgan_1329,3.6
morgan_564,3.6
morgan_684,3.6
morgan_419,3.6
morgan_1529,3.6
morgan_111,3.6
morgan_599,3.6
morgan_330,3.6
morgan_544,3.6
morgan_1735,3.5999999999999996
morgan_61,3.5999999999999996
morgan_1141,3.5999999999999996
morgan_1753,3.5999999999999996
morgan_1764,3.5999999999999996
morgan_845,3.5999999999999996
morgan_129,3.5999999999999996
morgan_954,3.5999999999999996
morgan_1916,3.5999999999999996
morgan_917,3.5999999999999996
morgan_1898,3.5999999999999996
morgan_950,3.5999999999999996
morgan_1498,3.5999999999999996
morgan_326,3.4000000000000004
morgan_784,3.4000000000000004
morgan_26,3.4000000000000004
morgan_1190,3.4000000000000004
morgan_1260,3.4000000000000004
morgan_2047,3.4000000000000004
morgan_795,3.4
morgan_16,3.4
morgan_1774,3.4
morgan_1922,3.4
morgan_1945,3.4
morgan_651,3.2000000000000006
morgan_1353,3.2
morgan_342,3.2
morgan_461,3.2
morgan_1941,3.2
morgan_1120,3.2
morgan_2012,3.2
morgan_968,3.2
morgan_857,3.2
morgan_1849,3.2
morgan_1755,3.2
morgan_1756,3.1999999999999997
morgan_1196,3.0000000000000004
morgan_277,3.0000000000000004
morgan_192,3.0000000000000004
morgan_1938,3.0
morgan_1887,3.0
morgan_1372,3.0
morgan_2018,3.0
morgan_1343,3.0
morgan_320,3.0
morgan_1625,3.0
morgan_1731,2.8000000000000003
morgan_1584,2.8000000000000003
morgan_937,2.8000000000000003
morgan_1714,2.8000000000000003
morgan_1737,2.8000000000000003
morgan_1024,2.8000000000000003
morgan_1451,2.8
morgan_885,2.8
morgan_335,2.8
morgan_1734,2.8
morgan_339,2.8
morgan_176,2.8
morgan_1676,2.8
morgan_1358,2.8
morgan_568,2.8
morgan_86,2.8
morgan_431,2.8
morgan_386,2.8
morgan_1336,2.8
morgan_1117,2.8
morgan_143,2.6000000000000005
morgan_1552,2.6
morgan_562,2.6
morgan_826,2.6
morgan_774,2.6
morgan_668,2.6
morgan_1172,2.6
morgan_771,2.6
morgan_738,2.6
morgan_1533,2.6
morgan_1218,2.6
morgan_1634,2.6
morgan_1277,2.6
morgan_1377,2.6
morgan_870,2.6
morgan_1944,2.6
morgan_712,2.6
morgan_1072,2.6
morgan_475,2.5999999999999996
morgan_1105,2.5999999999999996
morgan_482,2.5999999999999996
morgan_408,2.5999999999999996
morgan_1695,2.5999999999999996
morgan_847,2.4000000000000004
morgan_368,2.4000000000000004
morgan_1797,2.4000000000000004
morgan_1687,2.4000000000000004
morgan_1686,2.4
morgan_1313,2.4
morgan_517,2.4
morgan_2043,2.4
morgan_209,2.4
morgan_395,2.4
morgan_1725,2.4
morgan_136,2.4
morgan_135,2.4
morgan_1444,2.4
morgan_768,2.4
morgan_2028,2.4
morgan_1328,2.4
morgan_631,2.2
morgan_620,2.2
morgan_723,2.2
morgan_152,2.2
morgan_1826,2.2
morgan_184,2.2
morgan_502,2.2
morgan_852,2.2
morgan_2038,2.2
morgan_782,2.2
morgan_138,2.2
morgan_527,2.2
morgan_1857,2.2
morgan_33,2.2
morgan_305,2.2
morgan_36,2.2
morgan_69,2.2
morgan_1351,2.2
morgan_2033,2.2
morgan_983,2.2
morgan_1701,2.2
morgan_1713,2.2
morgan_1474,2.2
morgan_302,2.1999999999999997
morgan_44,2.1999999999999997
morgan_602,2.1999999999999997
morgan_593,2.0000000000000004
morgan_484,2.0000000000000004
morgan_449,2.0
morgan_385,2.0
morgan_766,2.0
morgan_1645,2.0
morgan_1473,2.0
morgan_1240,2.0
morgan_1655,2.0
morgan_491,2.0
morgan_1820,2.0
morgan_1350,2.0
morgan_688,2.0
morgan_775,2.0
morgan_1014,2.0
morgan_1298,2.0
morgan_1747,2.0
morgan_47,2.0
morgan_1766,2.0
morgan_336,2.0
morgan_752,2.0
morgan_901,2.0
morgan_1212,1.8000000000000003
morgan_546,1.8000000000000003
morgan_361,1.8000000000000003
morgan_1191,1.8000000000000003
morgan_906,1.8000000000000003
morgan_572,1.8000000000000003
morgan_985,1.8000000000000003
morgan_2,1.8000000000000003
morgan_1932,1.8000000000000003
morgan_371,1.8
morgan_396,1.8
morgan_474,1.8
morgan_2013,1.8
morgan_479,1.8
morgan_387,1.8
morgan_1405,1.8
morgan_1558,1.8
morgan_1077,1.8
morgan_1870,1.8
morgan_516,1.8
morgan_1344,1.8
morgan_1810,1.8
morgan_1519,1.7999999999999998
morgan_846,1.7999999999999998
morgan_628,1.7999999999999998
morgan_1448,1.7999999999999998
morgan_174,1.7999999999999998
morgan_1227,1.7999999999999998
morgan_1931,1.7999999999999998
morgan_1700,1.7999999999999998
morgan_414,1.7999999999999998
morgan_1696,1.7999999999999998
morgan_1508,1.7999999999999998
morgan_1881,1.7999999999999998
morgan_1553,1.6
morgan_1566,1.6
morgan_577,1.6
morgan_1638,1.6
morgan_615,1.6
morgan_275,1.6
morgan_1411,1.6
morgan_1250,1.6
morgan_313,1.6
morgan_309,1.6
morgan_1264,1.6
morgan_844,1.6
morgan_1762,1.6
morgan_865,1.6
morgan_764,1.6
morgan_501,1.6
morgan_139,1.6
morgan_558,1.6
morgan_220,1.6
morgan_2025,1.6
morgan_1157,1.6
morgan_20,1.6
morgan_141,1.6
morgan_594,1.5999999999999999
morgan_211,1.5999999999999999
morgan_1962,1.5999999999999999
morgan_893,1.5999999999999999
morgan_1302,1.5999999999999999
morgan_1563,1.5999999999999999
morgan_737,1.5999999999999999
morgan_1445,1.5999999999999999
morgan_1971,1.5999999999999999
morgan_1681,1.5999999999999999
morgan_1902,1.4000000000000001
morgan_649,1.4000000000000001
morgan_1778,1.4000000000000001
morgan_1925,1.4000000000000001
morgan_943,1.4000000000000001
morgan_102,1.4000000000000001
morgan_1331,1.4000000000000001
morgan_1509,1.4000000000000001
morgan_412,1.4
morgan_1723,1.4
morgan_1395,1.4
morgan_1400,1.4
morgan_204,1.4
morgan_1143,1.4
morgan_1743,1.4
morgan_1776,1.4
morgan_1500,1.4
morgan_165,1.4
morgan_1244,1.4
morgan_1878,1.4
morgan_525,1.4
morgan_261,1.4
morgan_1155,1.4
morgan_1267,1.4
